Bike,Description,Price,Year,Location,State,Listed,Source,Link
RM250,"rm250Selling my well maintained. 1996 RM 250cc. Parts update : New brake pads, front / rear New front brake line New clutch lever All new fluids- engine,fork, coolent,rear suspension, brakes New- ish seat , got it used but in good condition . New r [...]","$2,300",1996,Orland Park,IL,08/08/17 7:00 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/54bc85a4ba7e9d7da3e18e705cd92871)
KX250,Kawasaki kx 250Fresh top end runs great ready to ride New clutch installed 1998 kx 250 dirtbike 1708 3o7 3785 Honda kawasaki yamaha suzuki atv fun mud cheap,"$1,700",1998,Steger,IL,08/10/17 7:57 pm (23 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/54d6f3f07ab495cfc618a695b8625d4f)
KX250,KX 250I am selling my 1986 KX 250 Yes it is a very old bike but she still rips Honestly I don't ride it much and it's just taking up space in the garage. This bike is in extremely good condition for its age. Comes with a spare oversized tank. Don't wa [...],"$1,500",1986,Pembroke,MA,08/09/17 7:48 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/54f2b42e145e9e658cbec7b315bc8274)
RM250,"Suzuki RM250""RG3 suspension""For sale Suzuki RM 250 with RG3 suspension several after market part's. Runs and Rides perfectly perfect. Doesn't have to much ride time on it only about a handful of time's. Serious buyer's only please No Scammer's if interested or have more questio [...]","$3,200",NA,Eagle,ID,08/07/17 1:21 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5568299e59b419091b2fc2095f79e658)
YZ250,"Green Sticker Yz250 for sale lots of extras!2001 yz 250 two stroke for sale. Starts up every time, great bike! Plenty of power. Green sticker two stroke!!! The only reason I am selling is I have gone to a KTM 2016 500 exc. Bike has FMF exhaust, FMF Gold Serious expansion chamber. Very recent [...]","$2,600",2001,SAN MATEO,CA,08/07/17 4:36 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5569e811a41bd27b7d03c879907054b5)
KX250,2004 Kx 250I have a super clean Kx250 that has a full pro circuit exhaust with a shorty silencer and a works pipe. The bike has very low hours on it and is one of the cleanest you will find. The price is $3000 obo any questions feel free to ask. Not interested [...],"$3,000",2004,Milford,OH,08/08/17 2:25 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/564dc2576bad58d162eb0533447e1883)
CR250,"2000 cr2502000 cr250 runs good Starts right up Needs a rear brake caliper show contact info Keywords:yz125,yz250,yzf250,yzf450,kx125,kx250,kx250f,kx450f,cr250,cr125,crf250,crf450,rmz450,rmz250,rm125,rm250,2 stroke,honda,yamaha,kawasaki,suzuki","$1,600",2000,Fort Lauderdale,FL,08/10/17 3:54 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/56b362fa6180814e09fed8e8e6afca12)
CR250,"2006 Honda CR 250RVery clean 06' CR 250 that has been well maintained. Clean Title New parts include: Tires Dunlop MX 52 (f&r), UFO plastic, rear brake pedal. Custom Vision graphics, grips. The fresh top end has less than ten hours on it. Motor has mild port [...]","$4,000",2006,Snohomish,WA,08/08/17 6:15 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/56bfc50fd2585cea46f1bab91748234f)
CR250,"1975 Honda CR250M1 Elsinore CR CR250 CR250MAs obvious in the photos, this bike is not a show bike, but a capable racer. Engine was gone through around 2010 by Dave Lambeth, General Manager of Cycle Center in Asheboro, NC, a fifty-one year old Honda dealership. Bearings, seals, gaskets, pisto [...]","$2,500",1975,Kings Mountain,NC,08/10/17 3:56 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5715f92d9d6295f6cd73112a0fda0109)
250XC,"2014 Ktm 250 XcHey I have a 2014 Ktm 250 Xc for sale bike was very well maintained with air filter changes close to every ride and tranny oil change every few rides, always ran non ethanol gas, has a fresh top end with oem piston and rings with about 20 hours on it [...]","$4,600",2014,Portland,OR,08/08/17 6:30 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/571da29854311add1622301fc887e117)
CR250,"2001 Honda CR250R CR250 Clean!I have decided to sell my 2001 Honda CR250r. It's one of the cleanest CR's you will find, and of course it has the favored 00-01 mechanical power valve engine (quite possibly Honda's best ever 2 stroke). I bought the bike about 2 years ago to trail r [...]","$2,800",2001,Indianapolis,IN,08/07/17 1:37 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/587e443aa544c8eeed45f9657fd6d755)
KX125,"Kawasaki kx 125I have a Kawasaki kx 125. Green sticker, current registration, and pink slip in hand. Runs great!","$1,250",NA,Pine Grove,CA,08/08/17 2:12 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/58d746a9b51abb01867e9de20be33446)
CR250,"1986 CR250RI have all the old parts to prove complete rebuild, Calls only eight3two 628 five22six","$2,500",1986,Tomball,TX,08/07/17 11:07 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5a476b255ce87a93d3a4391b9433bd00)
KTM 400,Vintage 1970s KTM 400 Enduro Motorcycle Untouched Since 1978Serious time capsule. This was removed from a motocross shop that closed in 1978. It's a little dusty but in great condition. Everything seems to be here except the proper forks. Some of the parts are never used old stock. It's a 1970S KTM 400 ENDURO,"$1,500",1978,Lynnwood,WA,08/10/17 3:26 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5a954000e1fe781842babb8f6671a0dd)
CR250,"2002 Honda CR250Runs and rides fine. Comes with Washington state title (Hawaii doesn't use titles so can't transfer to Hawaii just proves its clean). Selling due to downsizing. Starts first kick. Comes with extra plastics and misc parts. Has u breakable levers, pro [...]","$3,200",2002,Ewa Beach,HI,08/08/17 5:33 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5b4a5be661ade170c72bc0f6f3cbf40b)
KTM 525,"2004 KTM 525 Exc, well maintained, platedGreat condition. Mechanically in great shape, starts up every time and hardly needs any choke to start. Plated in WA. Oregon DMV says they will plate it here as well. Extras include: Valves adjusted recently by a shop.. they said that the cylinder [...]","$4,450",2004,Portland,OR,08/08/17 11:49 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5b86ab205982cf80b5d1f9e929ef4b2d)
KTM 250,2013 ktm 250sxI have one 2013 ktm 250sx all new plastics and graphics Maintained after every ride Fluids changed after 3to4 rides Air filter change after every ride Top end just replaced with less than 1 hour on it and wasn't rode hard Ran with race fuel Com [...],"$3,500",2013,Brockton,MA,08/08/17 2:44 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5ba1df79363a75566c0f8b5161812d31)
KTM 525,"07 KTM 525 exc2007 KTM 525 excf with 110 hrs 2734 mi in great shape. De smogged, alu skid plate, hand guards, rad guards, Boyesen quick shot, led tail light, Last year RFS (easy valve adjust), 1st year 50 state street legal. Needs Battery, still starts fine with k [...]","$5,000",2007,Randle,WA,08/11/17 3:12 am (16 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5cc30f5f2f01e7247f5b8796a7e09fd2)
KTM 200,2016 KTM 2002016 KTM WX-C 200 Clean only 58 hours has aftermarket spark arester and suspension springs for 200#+ rider. New m1 knobies front and rear. Adult owned. Wanting to buy a boat.,"$7,500",2016,Maui,HI,08/08/17 3:34 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5cdfe966daae6823397e6f939ae5779b)
CR250,"2001 cr250r2001 cr250 for sale. I have a brand new back tire cost me 110 bucks that hasn't been put on yet. Has 2015 crf front fender and number plate and 2007 shroud plastics and new Honda seat cover. new chain slide and chain, I change the oil about every 3 [...]","$2,300",2001,Sharpsburg,GA,08/07/17 2:31 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5d250eacfc6f00c2f186a398ff06e400)
KTM 300,"2000 KTM 300exc - AZ street legal'00 KTM 300exc Plated in Arizona for full street use & also has OHV sticker Fresh Cylinder, Power Valve, Piston / Rings JD Jetting Kit Newer Rear Tire Fastway Evolution 3 Footpegs BRP/Scott's Sub-Mount for Steering Stabilizer (stabilizer not in [...]","$2,800",2000,Japatul/ Blossom Valley,CA,08/10/17 3:23 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5d7b28d09f9dc40650658374c71ddd76)
CR250,2003 CR2502003 CR 250 Honda 2 stroke perfect condition and very fast. also have stock pipe,"$3,000",2003,frisco,TX,08/11/17 2:10 pm (5 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5d9b538f323ab97d57551f9ba2011136)
YZ125,2003 YZ 125Up for sale is a very well taken care of 2003 yz125. The reason for selling is to get a newer four stroke. this bike has a lot of new parts. The bike had a complete engine rebuild last year that now has 15-20 hours on top and bottom. It starts up no [...],"$1,800",2003,Nova,VA,08/08/17 1:14 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5dbe3a94cfb029a63976077336bd1bc0)
KTM 525,2003 KTM 525Selling my 525 KTM. Extra tank and tires. Need to get rid of it No Trades! Send me a email or text/call if interested. show contact info,"$2,500",2003,Salmon Creek,OR,08/07/17 10:44 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5dd7eb752eecba708a33d6ae9572ede4)
KX250,"2003 kx 250Great bike. Starts up 1 or 2 kick, brand new plastics, hadn't got graphics yet, new chain n sprockets. Motor was just rebuilt, along with all bearings around bike such as swingarm, wheel bearings, etc. Awesome bike, super powerful, just don't have ti [...]","$3,000",2003,york,NC,08/11/17 12:58 am (18 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5eb7b4a25072ceb0d4d1aa64dbba3385)
RM250,"2000 RM 250 - REBUILT & READY TO RIDE!!I am selling my 2000 RM 250. I have done a lot of work to this beast. I am not in a rush to sell at all, being that I put a lot of effort into rebuilding it.The Fresh oil, filter, spark plug, Air Filter, Stator and left side cover gasket, Sintered fr [...]","$1,800",2000,Richardson,TX,08/08/17 9:51 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5ebfb38326c691601f044d05e30ef878)
KTM 250,KTM 250 SX 2017Brand new 2017 KTM 250 SX. Bought for son who will not be using it. Never been ridden. Zero hours on bike. Call or email if interested. ONLY SERIOUS INQUIRIES. CASH ONLY.,"$7,500",2017,Denton TX,TX,08/10/17 1:20 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5ee3d28963c45bb182b198051ccb7b0a)
KDX 200,"94 Kdx 200Im selling a 94 Kdx 200 2 stroke. Has brand new front and rear fenders, new grips, new fork guards, and front light. Put a newer Kx 250 rear fender on it. Fairly new tires (front still has rubber in the middle) and handle bar guards. Comes with old f [...]","$1,100",1994,Vancouver,WA,08/10/17 12:50 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/5fca7089f0cc4fbedd7650e5f16891af)
CR125,"2007 Honda CR85R big wheel like cr85 crf cr125 pit bike moto x cr802007 Honda CR85RB rare big wheel. Good condition, pro circuit silencer and fly bars. Otherwise stock. Runs good. Could use tires. No trades $1450.00","$1,450",2007,New Prague,MN,08/11/17 12:19 pm (7 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/601ec288bad41676aac4ebd82f842770)
KTM 525,KTM 525 EXC CA plated loaded2004 KTM 525 EXC Legendary RFS engine (the best KTM ever made) 6 speed wide ratio CA street legal Current CA plate Great condition Everything works Wheels roll true New rear tire Loaded with tons of goodies (see below) Ridden by easy senior [...],"$4,500",2004,Pismo Beach,CA,08/10/17 12:15 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/602a366403beb6b12e5dbd816f4e8133)
200XC-W,"2008 KTM 200 XC-W 2-stroke enduro trail dirt bikeSelling my beloved 2008 KTM 200 XC-W trail/enduro smoker since I just purchased a 350 EXC-F and don't have space in the garage for it, otherwise I'd keep it. The previous owner had it resleeved and got a new W�ssner piston, and I only put 20 hours o [...]","$3,400",2008,santa cruz,CA,08/08/17 3:25 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/605d18b2b2026563617169b9f51c9c91)
CR500,"1996 Honda CR500One owner, restored. New top end to include jug/cylinder, piston, rings, wristpin, manifold seal. New Pro Circuit pipe. New chain and slightly used sprockets. New steering head bearings air filter, swing arm bearings, swingarm bolt and linkage, rear [...]","$3,895",1996,Alpharetta,GA,08/08/17 12:46 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6071248adb5923ed3576769d3ab1d88a)
YZ250,"Yamaha YZ250 2001 model2001 year model Yamaha YZ250 with much rebuilt: Engine just rebuilt with a new cylinder(not replated, but a new cylinder), new bottom end with new rod, bearings, and seals. New piston and rings. Shock rebuilt with all linkage bearings replaced, sw [...]","$1,650",2001,Northside,GA,08/07/17 6:51 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/60afa8ef495b41f0f222cbcabb3aa147)
KX250,98 kx 250I have a nice kx 250 ready to go fmf with shorty new tires new (2010)plastic and # plate new seat cover new gas filter just. Change the oil and filter new air filter bike is super fast and loud not for beginners.trades are welcome looking for nice ut [...],"$1,800",1998,Conyers,GA,08/07/17 1:03 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/60b7e3280169acd1dd8b6922ebb16d13)
250XC,"2017 KTM 250xc250 xc for sale in excellent condition. 35hrs. Extras include; Enduro Engineering disc, hand, and radiator protection. Michelin Starcross 5 tires like new SX head New top end at 27hr Stock exhaust will be installed- like new. No trades please","$6,995",2017,Green Bay,IL,08/10/17 5:32 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/61251e04eb279f8525da31017774e26a)
YZ250,"YZ250 2006 Yamaha 2 StrokeUp for sale is a practically brand new 2006 Yamaha YZ250 Brand new items including: bottom end with Hot Rods crank, rod, crank bearings. top end with Pro X piston. OEM cylinder linkage bearings. Torc1 shift lever Tusk brake lever ASV brake and [...]","$3,900",2006,Carson City,CA,08/10/17 3:04 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/632fe797b55a80afe70bc6838d2c8a6b)
CR250,2006 CR250R Completely Fresh Build Only 3 Hourscleanest CR250R you'll find. Everything and I mean literally everything except the rear shock is new. Has HRC replacement frame and is not provisioned for a VIN number therefore has no title. A CHP assigned vin is possible but i have absolutely no ne [...],"$3,800",2006,Redding,CA,08/08/17 1:00 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/633033be1fa3f69ca55ba34f9f4616f6)
CR125,cr1252001 Looks and runs excellent hasn't been used much starts first kick green sticker new FMF turbine core exhaust title in hand $1800 OBO call message me at show contact info,"$1,800",2001,Marina del Rey,CA,08/09/17 12:52 am (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/63b676bc91fe3e3a24c5027813eaa3cd)
RM250,"03 rm250Rm 250 fully rebuilt, clutch is new, Wiseco piston, graphics, carbon reeds, shocks and all bearings are solid. If you want a truly clean crisp 2stroke, this is your bike. Come and get it. show contact info","$3,200",2003,Orland Park,IL,08/07/17 12:00 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6474a2e2bc157ac2a1065a6d9e7eca8a)
CR250,2004 CR250r Completely RebuiltThe time has come to thin out some of the many toys I have. This is a 2004 CR250r. Runs perfectly and starts within a kick or two. I don't race or even ride MX that much so it's been pretty much babied on the trails. I've had a lot of things done to [...],"$2,200",2004,Chicago Northside,IL,08/08/17 10:29 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6529e7b324048aea3e45d9e25911e23f)
RM250,"Suzuki RM 250 Dirt bike2002 Suzuki RM 250 2 stroke dirt bike. Bike has full FMF exhaust, new reeds, pro taper bars, front tire is new rear is 3/4 tread. New sprockets. Top and bottom end have less than 10 hrs. New SDG seat. Plastics are in great condition. Very nice bike. [...]","$2,700",2002,Baltimore,MD,08/08/17 12:38 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6579ef532373bc70efd223784fc38ec7)
KTM 250,"KTM 250SXSuper clean KTM 250 SX. Bike has 60.6 hours on it, yes it has an hour meter, and was well maintained. Rebuilt every 16-20 hours by a local guy who does motors. Pro circut pipe and silencer, fat bars and offset triple clamps. Bike was ridden mostly at [...]","$3,800",NA,Newark,NJ,08/09/17 7:10 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/658f7aaa2b01a870982ad9eba5597a74)
CR125,Honda 2002 cr1252002 cr 125 American beauty Green sticker bike Clean ca title Low hours New back an from tire New suspension front an back New top end bottom end New chain sprockets New brakes Full service Full exhaust Pro taper bars Acerbis hand guards [...],"$1,750",2002,Escondido,CA,08/07/17 1:44 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/669e5d9d1c606c3144b8b3b96127f78c)
KTM 250,"** KTM 2014 250 XCF-W **Fuel injected bike runs great. Lots of fun to ride with the Factory Connection suspension. Excellent trail riding in the woods and on single track. Other extras: skid plate, radiator guard, handguards, rear brake disc guard. Including additional seat [...]","$4,800",2014,"Hollis, ME",ME,08/10/17 3:56 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6858dd7d32d9af80c4466a2d3fa867d2)
250XC-W,"Ktm 250 xcwSelling a 2008 Ktm 250 xcw. Has lots of extras. Always well maintained and serviced. Has 2010 forks and electric start,slavens high compression head,rekluse clutch' radiator impeller for better cooling,fmf exhaust, pipe guard and lots more. Set up gr [...]","$4,500",2010,Oregon City,OR,08/11/17 1:14 am (18 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/68bdbeed994794c328702cae3fec600f)
YZ250,2015 YZ 250Yz 250 bike of the year good condition,"$4,800",2015,Olympia,WA,08/08/17 2:29 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/69dea2460952bf188a6dbd71725dcb9b)
CR125,2000 Cr125 Honda2000 Honda Cr125 Two Stoke. Clean title and Runs great with low hours. Fmf pipe with great tread on tires. Starts first kick and needs nothing. All around really great and fun bike for all ages. Going to college and need the money. Unfortunely need t [...],"$1,400",2000,Lake Tapps,WA,08/09/17 1:11 am (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6a6ba2b901260c795754573287ec2d5f)
RM250,"06 Suzuki RM 25006 RM 250 Excellent shape, low hours. Bike is ready to ride, needs nothing. Pro Taper bars, Motion Pro micro fork bleeders, FMF pipe and silencer, Wiseco clutch kit with only a few rides on it, (clutch kit consist of basket, both sets of plates and s [...]","$3,200",2006,whitewater,MO,08/08/17 8:31 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6a91ea898dcc39578efd690d3bb2fc62)
RM125,"1995 suzuki RM125Up for sale is a 95 RM125, bored one over with wiseco piston k/n filter jetted carb later model adjustable front shocks Renthal handlebars Fmf gold series fatty pipe Fmf turbine core 2 exhaust Decent tread on tires front and rear Only issue [...]","$1,200",1995,Bonney lake,WA,08/08/17 4:36 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6ad28ac964f43b800352ad1a1d3444a0)
YZ250,2016 Yamaha YZ250Bought brand new in 2016. 2-3 hours ride time. Don't have any time to ride and hate to see the bike just sit. Will have title upon sale do to needing to pay it off. NO TRADES $5500 firm Call or text no emails Do not waste my time with traded or t [...],"$5,500",2016,Haymarket,VA,08/09/17 6:54 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6ade89a5e9d51bebe7ef0027877cb550)
KX250,05 modified Kawasaki kx 250I recently got back into riding and this bike is just way to powerful for me. It scares the shit out of me. It's got some after market parts. Runs great. Starts fast. Just not built for how I ride. Text only I won't deliver,"$3,200",2005,Northplains,OR,08/11/17 3:56 pm (3 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6ae4a49f63ec37faa1c8a2ab3530fff3)
150XC,2014 KTM 150 SX2014 KTM 150SX in great shape! Bike still has the OEM chain and sprockets on it. Stock motor along with most the parts. Has Enduro Engineering spark arrestor cap. Call with any questions or serious inquiries NO TRADES show contact info,"$3,900",2014,VAL VISTA & SOUTHERN,AZ,08/09/17 10:31 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6b22d6e62189c6c64aed537b833d1b19)
KTM 525,"2005 KTM 525 MXC Electric Start, Low hours / broke my foot 2006Leave your name and phone number it you would like a responds. I don't do email!! Hello, I'm thinking of Selling my 2005 KTM 525 MXC electric start dirt bike, desert tank, 6 speed, skid plate, radiator guards, bought new on 2006. (Im original owner) [...]","$3,800",2005,Tacoma Puyallup,WA,08/11/17 3:05 am (16 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6b307007c381b4c25cd6e7985ccb8d93)
KX250,"Nice 2001 Kx 250!I have a nice 2001 kx 250 2 stroke. Its had the top end redone to stock spec with about 12 hours on it. Renthal bars, spoke wraps. Other than that its unmolested bone stock. Not very many out there thats this nice for the year. Tires are in great sha [...]","$1,850",2001,Speedway,MO,08/07/17 9:57 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6b4554c67ba308f8d572e7ee87f05a68)
KX250,"Kawasaki kx250Runs great,full fmf exhaust,very fast,great compression ready to ride comes with extra front and rear rim and tire","$1,350",NA,Brooksville,FL,08/07/17 3:19 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6bb559dc3b2ece2f7bd6354d06212c9b)
KX250,2 dirtbikes for sale 2016 crf 250 2017 kx 250I'm selling 2 dirtbike's. 2016 Honda CRF 250 R 2017 Kawasaki KX 250. Both in excellent condition and nearly new. $5100 each 636-1622,"$5,100",2017,Kaneohe,HI,08/11/17 5:08 am (14 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6c2acef0e753eeb9419d4dcc988e9ced)
YZ125,"yamaha yz 125Yamaha yz 125. 2000 Runs good. . Very fast Needs nothing. Runs on first kick $1500 Text show contact info Tags yz, rm, cr, kx, ktm, husqvarna, beta, sherco, bmw, scooter, trade, Polaris, kdx, xr, drz, wr, enduro, dual sport, sm, dr, klx, rmx, rmz, ec [...]","$1,500",2000,ginsville,GA,08/09/17 2:41 am (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6c3536ab7517832785496257db6b2858)
KTM 250,"KTM RC390 cbr ninja 250 motorcycle sport bike w ABSExcellent condition 2015 ktm rc390 with ABS brakes, one owner, lady rider, well maintained and garage kept. 1st service from KTM dealer receipt present. Original owners manual and tool kit available. Clean title. No liens. This is a very hard to fi [...]","$4,000",2015,brooklyn,NY,08/08/17 7:29 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6da0e1dd9e0835b697a8e1b820744043)
CR250,"1984 Honda CR250R-1984 Honda CR250R - Needs carb tuned, otherwise in good shape. - New top end 5 hours ago. - Shock rebuilt in last year. - Good tires - New Renthal CR High Bars $1000 OBO","$1,000",1984,Fort Worth,TX,08/09/17 5:36 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6da52da69867d31764f55ac378c969ff)
RM125,"Rm 125 2003 mintBrand new radiators top end and bottom end just redone bike is in amazing condition starts first kick every time ready to go ! Call me anytime show contact info Thanks, joe","$1,850",2003,Chelmsford,MA,08/09/17 6:28 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6e9eb2a9f92280bf9e591c298c82b682)
YZ125,2002 Yamaha yz125The bike rides good but it runs ok. It's got plenty of top end power but it bogs and sputters in the low Rpm's. I've tried several things but it still does the same thing in the low rpm's. It's got a ton of aftermarket parts on it like pro taper fat [...],"$1,300",2002,Whitesburg,GA,08/08/17 8:48 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6f261dac47409be7a883f1e23c649257)
KTM 125 SX,2001 KTM 125 SXSecond owner. Runs well. Perfect for a younger/newer rider or a weekend warrior. Selling to make garage space. Text me at any time with inquiries. Tons of upgrades: Bottom and top end rebuild Forks rebuilt New rear tire FMF shorty pipe New Deca [...],"$1,250",2001,"Maineville, OH",OH,08/11/17 1:29 am (18 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6f8b8deecd875ee655416323cf5671d8)
KDX 200,"1996 Kawasaki KDX 20096 Kawasaki KDX200, excellent condition, new bars & grips, new seat cover with new foam, recent top end, FMF pipe & silencer, chain & spockets good, good tires, ready to ride. clean AZ title $1700. Consider trade for 4-stroke trail bike o [...]","$1,700",1996,Greenway & SR51,AZ,08/09/17 1:03 am (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6fb30aed4333b884d02ac20f8b1efa47)
KTM 250,2007 KTM 250 XCF-wGot a 250 just changed the engine gaskets good to go. Call text 6178two344six3,"$2,800",2007,Newton,MA,08/09/17 5:18 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6fca5d2e28d1f317b273824728f3e206)
CR125,"Cr125r 2005Cr comes with pro taper bars, stock and oversized clark fuel tank, full procuircut exhaust, trackside snap back levers brand new cycra plastics. Runs fine oil changed every other ride same as air filter. Wiseco topend with proper heat cycled break i [...]","$2,500",2005,Fayetteville,NC,08/08/17 12:30 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/6fcf1f4410cbaa5a7edb2abe069877e1)
KTM 250,"1986 KTM 250 GS Dirt BikeComplete but not currently running. Bought this dirtbike with the intent of doing a minor restoration to vintage race, but the bike has sat untouched since I got it. Would really like to see someone use it. Please email with a phone number and I will [...]",$650,1986,"Hampton, NH",NH,08/11/17 2:32 am (17 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/703f63d2b845cf2e6d0a7121c1577e19)
KTM 525,"2005 KTM 525sx 525 SX - Great Condition - Barely Ridden - Great BikeUp for sale is a KTM 525sx in perfect working order. It has barely been ridden as I don't have time to anymore. To give you and idea, the tires are original. Title in hand. Nothing but some cosmetic scratches on it. Email me with a phone number and I [...]","$3,000",2005,Arvada,CO,08/08/17 7:02 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/7070ec58811995f71e60d11d1f906fbe)
CR250,"1997 Honda cr2501997 cr250, runs great and is very clean. Always had all maintainace done regularly and been well taken care of. Full fmf exhaust with gold series gnarly pipe with and fmf silencer. Great bike for runs amazing and has tons of power. Bike has a clean [...]","$1,600",1997,Peoria,AZ,08/10/17 1:35 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/70a5ede46f7d59e4b34ab46575fd70c1)
KTM 250,"2001 KTM 250 EXC2001 KTM250EXC great all around trail bike, plenty of low / mid range 2 stroke power. Less than 10 rides on new top end. Newer seals on forks and rear shock rebuild at same time. Pro-circuit torque pipe and factory USFS ""hockey stick"" silencer on bik [...]","$2,500",2001,Puyallup,WA,08/09/17 8:09 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/70ca5b11ef9f84cd58969d0963bc7283)
YZ250,1999 yz 250 competition1999 yz 250 competition If you are looking for a 250 this is the year everyone is after (adult owned/built) new everything runs strong way more invested than I am asking (great woods bike) always on amsoil lots of parts to go with it....don't need he [...],"$3,000",1999,s. boise,ID,08/07/17 2:11 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/7105889eeaeb2f096423c26808fe192d)
KTM 525,2005 KTM 525 EXC! Green Sticker!2005 KTM 525EXC One Owner* Well Maintained! Only 177 hours! Green Sticker just paid! Electric start. If you know the RFS Motors you'll know it's not uncommon to get 350-500 hours out of one with regular maintenance. - Valves were adjusted just an h [...],"$3,500",2005,dublin / pleasanton / livermore,CA,08/08/17 12:47 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/712ddef7006e5f9312109c916baef29e)
